0,0,Country_a,Product_1,2012-01-01,-1089000.0,-306000.0,0.0,0.0,-402000.0,0.0,-381000.0,1.0,12.0,1.0,21.0,31.0,4.0,5.0,4.0,4.0,4.0,2.0,23.0,29.978021978022,27.4204522588523,1.0,92137.5
1,1,Country_a,Product_1,2012-02-01,-1312500.0,-471000.0,0.0,0.0,-333000.0,0.0,-508500.0,2.0,12.0,1.0,20.0,29.0,3.0,4.0,5.0,4.0,4.0,3.0,24.0,30.792642140468306,27.9943899665552,2.0,67275.0
2,2,Country_a,Product_1,2012-03-01,-1494000.0,-507000.0,0.0,0.0,-394500.0,0.0,-592500.0,3.0,12.0,1.0,22.0,31.0,4.0,4.0,4.0,5.0,5.0,5.0,25.0,30.964161849710997,29.1627815028902,3.0,77850.0
3,3,Country_a,Product_1,2012-04-01,-1138500.0,-148500.0,0.0,0.0,-403500.0,0.0,-586500.0,4.0,12.0,2.0,20.0,30.0,5.0,4.0,4.0,4.0,3.0,1.0,26.0,34.3019830028328,32.8840654390935,1.0,79425.0
4,4,Country_a,Product_1,2012-05-01,-1804500.0,-576000.0,0.0,0.0,-369000.0,0.0,-859500.0,5.0,12.0,2.0,22.0,31.0,3.0,5.0,5.0,5.0,4.0,4.0,27.0,31.3041509433963,31.036103899371,2.0,89437.5
5,5,Country_a,Product_1,2012-06-01,-1408500.0,-402000.0,0.0,0.0,-339000.0,0.0,-667500.0,6.0,12.0,2.0,21.0,30.0,4.0,4.0,4.0,4.0,5.0,5.0,28.0,31.885714285714396,31.740271164021202,3.0,85050.0
6,6,Country_a,Product_1,2012-07-01,-1267500.0,-373500.0,0.0,0.0,-351000.0,0.0,-543000.0,7.0,12.0,3.0,21.0,31.0,4.0,5.0,4.0,4.0,4.0,2.0,29.0,31.562291169451104,30.8865797136038,1.0,94275.0
7,7,Country_a,Product_1,2012-08-01,-1260000.0,-237000.0,0.0,0.0,-381000.0,0.0,-642000.0,8.0,12.0,3.0,22.0,31.0,3.0,4.0,5.0,5.0,5.0,5.0,30.0,31.730477117819,31.1902802336904,2.0,115537.5
8,8,Country_a,Product_1,2012-09-01,-1710000.0,-555000.0,0.0,0.0,-471000.0,0.0,-684000.0,9.0,12.0,3.0,19.0,30.0,3.0,4.0,4.0,4.0,4.0,5.0,31.0,31.351546391752702,30.7193139175259,3.0,87300.0
9,9,Country_a,Product_1,2012-10-01,-2496000.0,-939000.0,0.0,0.0,-483000.0,0.0,-1074000.0,10.0,12.0,4.0,22.0,31.0,4.0,5.0,5.0,4.0,4.0,3.0,32.0,34.2078260869566,33.293002608695694,1.0,103500.0
10,10,Country_a,Product_1,2012-11-01,-2163000.0,-492000.0,0.0,0.0,-480000.0,0.0,-1191000.0,11.0,12.0,4.0,22.0,30.0,4.0,4.0,4.0,5.0,5.0,5.0,33.0,30.6875331564987,30.8658022988507,2.0,127237.5
11,11,Country_a,Product_1,2012-12-01,-2440500.0,-769500.0,0.0,0.0,-712500.0,0.0,-958500.0,12.0,12.0,4.0,15.0,31.0,3.0,3.0,3.0,3.0,3.0,5.0,34.0,32.0811989100818,25.778376566757498,3.0,82575.0
12,12,Country_a,Product_1,2013-01-01,-2019000.0,-270000.0,0.0,0.0,-598500.0,0.0,-1150500.0,1.0,13.0,1.0,22.0,31.0,4.0,4.0,5.0,5.0,4.0,4.0,35.0,33.0627037392138,30.8246473633749,1.0,117337.5
13,13,Country_a,Product_1,2013-02-01,-1995000.0,-867000.0,0.0,0.0,-862500.0,0.0,-265500.0,2.0,13.0,1.0,19.0,28.0,3.0,4.0,4.0,4.0,4.0,4.0,36.0,32.7967346938776,30.575270530612197,2.0,103359.375
14,14,Country_a,Product_1,2013-03-01,-1315500.0,-355500.0,0.0,0.0,-688500.0,0.0,-271500.0,3.0,13.0,1.0,20.0,31.0,4.0,4.0,4.0,3.0,5.0,5.0,37.0,36.5480832420591,23.4244475355969,3.0,102712.5
15,15,Country_a,Product_1,2013-04-01,-1522500.0,-315000.0,0.0,0.0,-796500.0,0.0,-411000.0,4.0,13.0,2.0,22.0,30.0,5.0,5.0,4.0,4.0,4.0,2.0,38.0,34.9497152542373,31.9146915254237,1.0,132750.0
16,16,Country_a,Product_1,2013-05-01,-1989000.0,-651000.0,0.0,0.0,-634500.0,0.0,-703500.0,5.0,13.0,2.0,22.0,31.0,3.0,4.0,5.0,5.0,5.0,5.0,39.0,34.211698058950404,31.564441552839604,2.0,156487.5
17,17,Country_a,Product_1,2013-06-01,-1383000.0,-337500.0,0.0,0.0,-724500.0,0.0,-321000.0,6.0,13.0,2.0,20.0,30.0,4.0,4.0,4.0,4.0,4.0,5.0,40.0,33.8794105263158,16.8032009569379,3.0,117562.5
18,18,Country_a,Product_1,2013-07-01,-1297500.0,-451500.0,0.0,0.0,-745500.0,0.0,-100500.0,7.0,13.0,3.0,22.0,31.0,4.0,5.0,5.0,4.0,4.0,3.0,41.0,33.2842903752039,31.2529660685156,1.0,137925.0
19,19,Country_a,Product_1,2013-08-01,-1065750.0,-27899.9999999999,0.0,0.0,-620400.0,0.0,-417450.0,8.0,13.0,3.0,21.0,31.0,3.0,4.0,4.0,5.0,5.0,5.0,42.0,33.5341144674086,30.880305246422896,2.0,141525.0
20,20,Country_a,Product_1,2013-09-01,-1556100.0,-241800.0,0.0,0.0,-832200.0,0.0,-482100.0,9.0,13.0,3.0,20.0,30.0,4.0,4.0,4.0,4.0,4.0,1.0,43.0,34.0748051554208,30.0133536012131,3.0,148387.5
21,21,Country_a,Product_1,2013-10-01,-1313850.0,-477750.0,0.0,0.0,-765750.0,0.0,-70350.00000000019,10.0,13.0,4.0,22.0,31.0,3.0,5.0,5.0,5.0,4.0,4.0,44.0,34.4147345454545,32.6980375757576,1.0,185625.0
22,22,Country_a,Product_1,2013-11-01,-1388550.0,-406650.0,0.0,0.0,-836250.0,0.0,-145650.0,11.0,13.0,4.0,21.0,30.0,4.0,4.0,4.0,4.0,5.0,5.0,45.0,35.610866174921,35.478095363540604,2.0,213525.0
23,23,Country_a,Product_1,2013-12-01,-1872600.0,-868800.0,0.0,0.0,-823050.000000002,0.0,-180750.0,12.0,13.0,4.0,20.0,31.0,5.0,4.0,3.0,4.0,4.0,2.0,46.0,36.13255147058821,25.576622242646998,3.0,122400.0
24,24,Country_a,Product_1,2014-01-01,-1267350.0,-221700.0,0.0,0.0,-839700.0,0.0,-205950.0,1.0,14.0,1.0,22.0,31.0,4.0,4.0,4.0,5.0,5.0,5.0,47.0,33.635352272727296,26.417320454545496,1.0,158400.0
25,25,Country_a,Product_1,2014-02-01,-1302750.0,-186000.0,0.0,0.0,-925950.0,0.0,-190800.0,2.0,14.0,1.0,19.0,28.0,3.0,4.0,4.0,4.0,4.0,5.0,48.0,34.5193858640514,30.152395536016197,2.0,166331.25
26,26,Country_a,Product_1,2014-03-01,-980550.0,-138750.0,0.0,0.0,-751350.0,0.0,-90450.0,3.0,14.0,1.0,21.0,31.0,5.0,4.0,4.0,4.0,4.0,1.0,49.0,33.8808146214099,28.735440440963107,3.0,193893.75
27,27,Country_a,Product_1,2014-04-01,-1036650.0,-314700.0,0.0,0.0,-656700.0,0.0,-65250.0,4.0,14.0,2.0,21.0,30.0,4.0,5.0,5.0,4.0,3.0,3.0,50.0,36.361454332552704,30.6650759953161,1.0,192150.0
28,28,Country_a,Product_1,2014-05-01,-1304400.0,-450000.0,0.0,0.0,-769050.0,0.0,-85350.0,5.0,14.0,2.0,21.0,31.0,3.0,4.0,4.0,5.0,5.0,5.0,51.0,36.4915832482125,29.3688540347294,2.0,220275.0
29,29,Country_a,Product_1,2014-06-01,-1424100.0,-589050.0,0.0,0.0,-814950.0,0.0,-20100.0,6.0,14.0,2.0,21.0,30.0,5.0,4.0,4.0,4.0,4.0,1.0,52.0,36.4501678321679,27.3508918414919,3.0,193050.0
30,30,Country_a,Product_1,2014-07-01,-1437000.0,-656850.0,0.0,0.0,-699750.0,0.0,-80400.0,7.0,14.0,3.0,22.0,31.0,4.0,4.0,5.0,5.0,4.0,4.0,53.0,37.3336132930514,30.851142296072602,1.0,223425.0
31,31,Country_a,Product_1,2014-08-01,-892950.0,-337800.0,0.0,0.0,-525150.0,0.0,-30000.0000000001,8.0,14.0,3.0,20.0,31.0,3.0,4.0,4.0,4.0,5.0,5.0,54.0,36.8137490646047,28.4369638313795,2.0,225506.25
32,32,Country_a,Product_1,2014-09-01,-1104600.0,-370650.0,0.0,0.0,-668550.0,0.0,-65399.99999999991,9.0,14.0,3.0,21.0,30.0,4.0,5.0,4.0,4.0,4.0,2.0,55.0,38.053035532995,21.2533702199661,3.0,199462.5
33,33,Country_a,Product_1,2014-10-01,-886950.0,-256950.0,0.0,0.0,-619949.999999999,0.0,-10050.0000000001,10.0,14.0,4.0,22.0,31.0,3.0,4.0,5.0,5.0,5.0,5.0,56.0,37.6924037055096,30.6841171136031,1.0,230737.5
34,34,Country_a,Product_1,2014-11-01,-931950.0,-304950.0,0.0,0.0,-586950.0,0.0,-40050.0,11.0,14.0,4.0,20.0,30.0,4.0,4.0,4.0,4.0,4.0,5.0,57.0,37.4311682785301,31.3904201160542,2.0,232650.0
35,35,Country_a,Product_1,2014-12-01,-1625850.0,-891300.0,0.0,0.0,-679200.0,0.0,-55350.0,12.0,14.0,4.0,21.0,31.0,5.0,5.0,5.0,3.0,3.0,3.0,58.0,36.60375,28.555068173076897,3.0,234000.0
36,36,Country_a,Product_1,2015-01-01,-1037550.0,-228000.0,0.0,0.0,-734250.0,0.0,-75300.0,1.0,15.0,1.0,21.0,31.0,4.0,4.0,4.0,4.0,5.0,5.0,59.0,39.406421310138604,34.516883283501,1.0,206943.75
37,37,Country_a,Product_1,2015-02-01,-1394250.0,-540150.0,0.0,0.0,-778800.0,0.0,-75300.0,2.0,15.0,1.0,19.0,28.0,3.0,4.0,4.0,4.0,4.0,5.0,60.0,38.5284129651861,29.490091716686692,2.0,187425.0
38,38,Country_a,Product_1,2015-03-01,-986850.0,-173700.0,0.0,0.0,-808050.0,0.0,-5099.99999999999,3.0,15.0,1.0,22.0,31.0,5.0,5.0,4.0,4.0,4.0,2.0,61.0,38.83566634922421,28.157081844154398,3.0,200823.75
39,39,Country_a,Product_1,2015-04-01,-968550.0,-236550.0,0.0,0.0,-717000.0,0.0,-15000.0,4.0,15.0,2.0,21.0,30.0,4.0,4.0,5.0,5.0,3.0,4.0,62.0,38.3685102001907,33.2450618684462,1.0,236025.0
